product_id;category;price;ratings
1;Clothing;156;4.4
2;Clothing;98;2.4
3;Home & Kitchen;315;2.6
4;Beauty;260;1.9
5;Home & Kitchen;27;1.6
6;Clothing;260;1.1
7;Clothing;457;3.8
8;Electronics;338;3.0
9;Home & Kitchen;767;1.6
10;Beauty;723;2.6
11;Beauty;405;2.8
12;Home & Kitchen;220;1.1
13;Home & Kitchen;894;4.7
14;Electronics;430;4.2
15;Beauty;354;4.5
16;Beauty;323;2.6
17;Beauty;511;2.1
18;Home & Kitchen;929;2.3
19;Electronics;441;2.2
20;Home & Kitchen;771;3.1
21;Clothing;729;4.4
22;Beauty;814;3.1
23;Electronics;133;1.5
24;Clothing;862;1.1
25;Home & Kitchen;807;3.0
26;Clothing;414;3.0
27;Clothing;545;4.2
28;Beauty;566;4.5
29;Home & Kitchen;333;2.3
30;Beauty;161;4.8
31;Home & Kitchen;373;4.9
32;Home & Kitchen;876;1.7
33;Home & Kitchen;297;2.6
34;Clothing;838;1.1
35;Home & Kitchen;684;3.0
36;Electronics;955;3.5
37;Beauty;486;3.1
38;Home & Kitchen;466;4.8
39;Beauty;438;4.7
40;Clothing;660;3.8
41;Home & Kitchen;863;3.6
42;Electronics;895;4.1
43;Home & Kitchen;78;1.4
44;Electronics;890;1.9
45;Clothing;638;4.8
46;Home & Kitchen;982;4.8
47;Beauty;644;4.2
48;Clothing;442;4.6
49;Beauty;801;3.5
50;Home & Kitchen;982;1.7
51;Home & Kitchen;308;1.5
52;Home & Kitchen;387;4.3
53;Home & Kitchen;937;3.4
54;Clothing;530;4.0
55;Home & Kitchen;185;4.6
56;Home & Kitchen;489;4.0
57;Beauty;89;1.0
58;Electronics;294;4.2
59;Clothing;70;4.2
60;Home & Kitchen;136;4.1
61;Home & Kitchen;17;4.1
62;Clothing;116;3.2
63;Electronics;123;3.7
64;Electronics;754;3.7
65;Home & Kitchen;30;3.7
66;Home & Kitchen;342;4.5
67;Home & Kitchen;236;3.4
68;Beauty;560;2.7
69;Beauty;698;4.0
70;Home & Kitchen;726;2.9
71;Beauty;246;3.0
72;Beauty;840;4.8
73;Beauty;645;3.4
74;Home & Kitchen;20;4.2
75;Home & Kitchen;57;1.1
76;Electronics;882;2.7
77;Electronics;429;3.1
78;Beauty;595;1.0
79;Electronics;65;3.5
80;Beauty;163;4.4
81;Beauty;923;4.9
82;Home & Kitchen;619;1.2
83;Home & Kitchen;155;2.6
84;Home & Kitchen;384;2.4
85;Electronics;180;4.4
86;Clothing;904;3.0
87;Electronics;158;4.1
88;Home & Kitchen;499;2.5
89;Electronics;949;2.4
90;Beauty;550;1.5
91;Clothing;716;1.4
92;Electronics;839;3.4
93;Beauty;548;5.0
94;Home & Kitchen;929;2.0
95;Beauty;198;3.6
96;Clothing;397;3.4
97;Home & Kitchen;652;2.7
98;Electronics;10;3.8
99;Beauty;885;3.6
100;Home & Kitchen;18;3.2
101;Clothing;662;3.3
102;Clothing;865;4.1
103;Beauty;573;2.4
104;Beauty;997;2.9
105;Beauty;136;1.1
106;Electronics;762;3.3
107;Home & Kitchen;513;2.3
108;Clothing;500;4.9
109;Clothing;893;3.6
110;Clothing;262;3.1
111;Home & Kitchen;110;3.2
112;Electronics;590;2.9
113;Beauty;138;4.5
114;Clothing;880;2.9
115;Beauty;385;2.1
116;Electronics;788;1.8
117;Beauty;657;2.6
118;Electronics;253;2.0
119;Beauty;450;4.5
120;Clothing;60;2.9
121;Clothing;787;1.4
122;Electronics;913;3.4
123;Home & Kitchen;812;4.5
124;Electronics;942;3.5
125;Electronics;509;3.4
126;Clothing;383;1.9
127;Beauty;912;1.4
128;Electronics;115;3.7
129;Electronics;807;2.9
130;Electronics;290;4.6
131;Home & Kitchen;775;4.9
132;Electronics;896;1.1
133;Electronics;449;2.5
134;Electronics;137;2.4
135;Electronics;20;1.5
136;Home & Kitchen;275;1.6
137;Beauty;307;2.6
138;Beauty;439;2.4
139;Electronics;840;4.0
140;Electronics;611;3.7
141;Beauty;217;3.3
142;Electronics;332;4.4
143;Clothing;492;4.3
144;Beauty;291;2.8
145;Clothing;337;2.1
146;Clothing;877;4.7
147;Clothing;144;3.1
148;Clothing;575;1.5
149;Beauty;610;2.1
150;Home & Kitchen;921;5.0
151;Home & Kitchen;333;2.0
152;Electronics;747;2.8
153;Beauty;19;4.5
154;Electronics;812;4.0
155;Beauty;163;1.2
156;Home & Kitchen;88;4.8
157;Clothing;549;2.6
158;Electronics;327;3.6
159;Electronics;104;3.1
160;Clothing;276;3.5
161;Electronics;73;1.8
162;Clothing;385;1.5
163;Clothing;918;1.3
164;Home & Kitchen;562;3.1
165;Clothing;560;1.5
166;Clothing;524;2.7
167;Clothing;696;1.2
168;Electronics;318;4.3
169;Electronics;992;4.3
170;Electronics;176;4.0
171;Beauty;91;3.1
172;Electronics;342;2.3
173;Electronics;236;3.8
174;Electronics;176;3.6
175;Clothing;690;4.6
176;Home & Kitchen;373;4.9
177;Electronics;962;2.6
178;Clothing;213;3.4
179;Home & Kitchen;364;2.3
180;Electronics;184;3.5
181;Electronics;198;3.5
182;Beauty;431;1.5
183;Home & Kitchen;144;2.1
184;Clothing;28;3.3
185;Beauty;979;3.5
186;Clothing;461;4.3
187;Clothing;672;1.3
188;Beauty;857;4.8
189;Electronics;842;3.3
190;Home & Kitchen;980;1.3
191;Beauty;895;3.0
192;Clothing;222;3.2
193;Clothing;743;2.0
194;Clothing;194;1.6
195;Beauty;934;1.1
196;Electronics;615;2.1
197;Home & Kitchen;329;4.8
198;Clothing;945;4.2
199;Clothing;465;2.0
200;Clothing;849;3.6
201;Clothing;369;2.0
202;Beauty;193;2.4
203;Home & Kitchen;528;4.2
204;Clothing;918;2.5
205;Beauty;54;3.1
206;Home & Kitchen;991;4.6
207;Clothing;730;2.7
208;Beauty;338;2.7
209;Beauty;70;2.6
210;Home & Kitchen;184;3.9
211;Electronics;870;4.1
212;Clothing;84;2.5
213;Beauty;382;3.8
214;Beauty;869;4.2
215;Beauty;272;1.8
216;Clothing;438;2.4
217;Clothing;282;2.3
218;Electronics;809;1.2
219;Electronics;605;1.9
220;Home & Kitchen;780;4.7
221;Electronics;324;2.0
222;Clothing;602;1.8
223;Electronics;648;4.3
224;Clothing;502;1.2
225;Home & Kitchen;475;2.5
226;Clothing;442;3.4
227;Clothing;382;4.7
228;Electronics;853;2.9
229;Electronics;133;1.6
230;Home & Kitchen;321;4.7
231;Beauty;943;3.8
232;Electronics;531;3.8
233;Clothing;565;1.6
234;Electronics;716;2.1
235;Beauty;740;1.4
236;Beauty;494;3.4
237;Home & Kitchen;817;1.0
238;Beauty;872;3.0
239;Clothing;113;5.0
240;Beauty;571;3.2
241;Beauty;718;2.7
242;Home & Kitchen;227;2.0
243;Home & Kitchen;403;3.8
