customer_id;product_id;purchase_date
7208;3032;2023-10-09
5183;4945;2023-06-05
9168;5702;2023-05-09
10273;4532;2023-10-22
5056;2027;2023-02-21
3060;2671;2023-01-31
5253;8748;2023-05-06
9452;2261;2023-07-23
10881;8375;2023-04-22
4600;4148;2023-09-06
5429;698;2023-03-19
2477;5374;2023-10-21
5063;1858;2023-06-28
5582;7912;2023-05-22
9415;3561;2023-08-14
8782;6108;2023-10-10
3307;7031;2023-11-23
11527;5105;2023-06-27
4725;434;2023-11-06
138;8079;2023-04-06
1242;2503;2023-11-02
10256;1196;2023-11-21
8590;3940;2023-10-23
3864;5620;2023-11-09
692;3538;2023-06-03
10519;4685;2023-09-15
3855;9959;2023-04-12
3468;9053;2023-09-25
4252;1988;2023-05-25
9359;9691;2023-03-30
216;1029;2023-10-01
8876;1083;2023-03-12
7792;3578;2023-07-09
471;5527;2023-05-03
8994;6270;2023-02-20
7579;9850;2023-05-22
6992;6315;2023-08-12
2067;85;2023-02-14
6975;158;2023-06-11
9986;5650;2023-04-24
5970;226;2023-05-04
5233;3181;2023-10-26
2114;3769;2023-06-05
11359;6619;2023-05-17
353;7357;2023-08-23
1326;3055;2023-07-13
11556;9610;2023-01-12
7473;8243;2023-07-10
6350;2625;2023-04-15
2011;3704;2023-06-13
3848;9572;2023-07-25
5668;7266;2023-03-28
1539;8725;2023-12-02
3389;7438;2023-05-09
11363;8726;2023-07-22
7406;2741;2023-07-03
2148;736;2023-12-31
874;594;2023-12-02
344;7380;2023-04-06
9455;5222;2023-11-05
1493;1610;2023-02-23
10290;1102;2023-05-01
4545;5625;2023-10-18
2259;3601;2023-07-23
5742;6821;2023-07-06
3162;3899;2023-05-17
5331;1068;2023-02-02
7458;3756;2023-07-31
3881;8384;2023-04-21
9836;4177;2023-04-13
656;9372;2023-01-14
4921;3178;2023-06-19
11109;7480;2023-06-26
9206;915;2023-09-16
8531;6004;2023-09-29
2169;6947;2023-02-03
2248;2049;2023-09-02
4109;3704;2023-07-23
4599;5436;2023-07-29
3778;3684;2023-08-22
10298;6896;2023-11-07
4504;78;2023-05-11
7449;5181;2023-09-22
1042;344;2023-06-25
9167;4807;2023-04-19
9280;2449;2023-11-18
2519;1280;2023-11-18
8008;9756;2023-07-31
3942;5094;2023-12-13
5024;1065;2023-12-18
1021;7273;2023-04-07
2708;2882;2023-01-28
3802;2140;2023-02-01
11205;5685;2023-11-09
10542;7210;2023-09-19
7291;6103;2023-03-12
2525;8997;2023-09-06
3827;5077;2023-07-04
10314;1764;2023-11-18
1535;1538;2023-12-17
4134;6663;2023-02-03
7777;2287;2023-09-15
5515;8164;2023-12-09
3554;3368;2023-04-26
5785;3862;2023-11-01
1518;5465;2023-12-16
6058;7695;2023-11-23
4373;5443;2023-09-12
8783;808;2023-10-09
5337;4262;2023-05-19
6688;4319;2023-05-02
4802;598;2023-08-24
7234;6475;2023-06-05
6775;6040;2023-03-16
11344;6677;2023-04-15
4226;3990;2023-08-18
6499;4302;2023-08-31
10974;7775;2023-11-15
336;9717;2023-10-05
5235;2783;2023-04-03
5542;9278;2023-02-12
5167;504;2023-10-08
4687;642;2023-07-09
4974;2532;2023-09-12
7483;4750;2023-10-02
4907;1871;2023-05-07
6721;3802;2023-05-31
2683;3183;2023-12-26
11695;935;2023-07-06
4959;3730;2023-07-27
10819;2766;2023-01-23
1778;9506;2023-05-24
3824;8587;2023-08-17
10835;9396;2023-02-22
5164;4282;2023-01-26
10641;5467;2023-09-18
302;6587;2023-09-29
3777;2431;2023-08-24
2792;1329;2023-01-10
1365;2322;2023-12-20
1377;1266;2023-09-26
4381;7640;2023-12-30
11454;1353;2023-04-19
4549;6875;2023-12-02
8285;8080;2023-03-10
8338;2609;2023-06-07
7401;9371;2023-03-14
6108;1146;2023-04-12
3129;5680;2023-08-11
7871;4971;2023-12-07
7111;1023;2023-03-29
5117;5018;2023-02-15
7896;8410;2023-10-13
3915;5700;2023-05-17
7428;3994;2023-02-19
9646;7183;2023-11-23
1948;4430;2023-01-17
804;9450;2023-08-03
2989;1471;2023-03-21
6759;4801;2023-10-16
7389;631;2023-11-25
366;2945;2023-09-02
8552;3600;2023-04-28
3674;305;2023-08-30
11806;7800;2023-08-11
8883;1077;2023-10-28
10021;3104;2023-08-18
9113;6385;2023-04-28
5256;7015;2023-05-21
6651;5361;2023-10-24
1786;7433;2023-07-11
4418;3508;2023-04-18
4413;6302;2023-10-05
8;4925;2023-10-04
8016;1078;2023-06-27
6269;4731;2023-09-12
1503;4126;2023-07-25
9168;9544;2023-08-05
10441;823;2023-10-22
6181;7776;2023-07-01
3589;7211;2023-05-25
6859;5949;2023-04-16
3918;3144;2023-10-18
7299;479;2023-11-25
10570;9921;2023-03-24
3162;8821;2023-12-05
4633;154;2023-12-22
5387;6347;2023-03-16
11173;89;2023-12-01
6818;5652;2023-06-21
8015;3461;2023-01-10
11435;9748;2023-05-24
6195;3336;2023-12-15
8339;5926;2023-11-07
9923;480;2023-06-29
10989;838;2023-10-30
10502;3037;2023-10-11
5927;357;2023-05-01
6089;7930;2023-08-26
10088;1004;2023-02-25
10185;2951;2023-06-09
356;2410;2023-04-16
4698;7211;2023-12-15
9132;9172;2023-07-07
481;5264;2023-01-31
3935;1422;2023-12-17
4330;5341;2023-07-16
6201;9980;2023-02-14
603;5035;2023-03-08
1811;9129;2023-08-27
24;146;2023-01-09
3847;7752;2023-01-12
8077;3430;2023-09-04
11353;872;2023-02-06
3389;1100;2023-08-11
5021;4272;2023-01-13
708;8614;2023-10-01
7952;695;2023-05-12
2811;3219;2023-04-05
811;3431;2023-09-23
423;3757;2023-07-29
7343;6011;2023-01-31
3504;8814;2023-05-14
5450;6326;2023-04-09
7439;7025;2023-11-22
4082;5451;2023-04-04
2432;6453;2023-05-17
1804;941;2023-11-12
7736;2024;2023-02-11
2758;7201;2023-10-18
8894;8069;2023-08-31
6802;2127;2023-04-11
11487;6678;2023-11-05
5338;7479;2023-02-07
9205;1576;2023-09-26
1469;4584;2023-08-24
1053;2090;2023-03-04
3086;3083;2023-04-13
299;5691;2023-08-07
5887;4667;2023-08-11
10019;5637;2023-04-22
5176;3516;2023-11-21
4711;5894;2023-09-26
11484;2605;2023-06-17
2110;7255;2023-05-27
10762;149;2023-09-01
8524;4653;2023-06-12
10348;7042;2023-05-24
7878;7250;2023-01-07
10528;5870;2023-06-25
2496;5853;2023-02-05
7009;7109;2023-11-10
8280;919;2023-02-01
11048;1496;2023-05-15
5200;9137;2023-05-18
2992;3698;2023-10-09
1527;7139;2023-06-12
4755;7007;2023-07-01
8335;1595;2023-09-14
9209;5922;2023-06-26
7803;7347;2023-07-21
8317;4005;2023-07-03
10406;3859;2023-11-26
4088;4958;2023-05-14
2415;1165;2023-03-08
7404;6012;2023-08-10
6200;8626;2023-11-02
8183;5959;2023-11-09
4347;320;2023-11-24
7724;9544;2023-09-22
8225;8741;2023-01-02
5528;7708;2023-02-28
2431;513;2023-05-08
7686;7400;2023-06-22
1679;3316;2023-02-16
4917;9156;2023-03-06
1170;9356;2023-01-31
2631;852;2023-05-21
5190;561;2023-05-24
5842;7033;2023-05-28
2579;1275;2023-02-11
5898;3681;2023-11-16
982;5021;2023-12-01
9471;1269;2023-08-23
7040;3436;2023-07-30
11004;7950;2023-04-26
8015;8830;2023-04-19
8291;1540;2023-06-25
6927;8781;2023-10-12
1760;3008;2023-02-03
5476;2593;2023-09-12
2458;3592;2023-12-04
6091;6235;2023-07-19
11479;602;2023-10-11
9983;6233;2023-12-15
7362;6912;2023-10-07
202;4368;2023-09-02
11025;7710;2023-11-20
8768;94;2023-01-07
995;2993;2023-10-11
89;3486;2023-07-25
3286;2958;2023-02-23
10380;5301;2023-02-25
4449;6517;2023-12-12
4203;1969;2023-10-28
4422;1453;2023-04-02
2849;7451;2023-09-16
6542;5837;2023-03-28
2746;130;2023-03-03
6417;6290;2023-12-31
9301;4383;2023-01-31
2893;514;2023-03-25
7550;1483;2023-08-31
3860;1817;2023-02-06
4886;7986;2023-03-18
7170;7841;2023-11-27
1325;1096;2023-11-10
5921;9133;2023-04-23
5074;1607;2023-10-13
5395;9855;2023-05-05
4805;3996;2023-03-09
6274;6822;2023-02-05
6178;2619;2023-11-06
6194;9596;2023-08-18
10258;125;2023-04-29
9536;7976;2023-12-19
1652;285;2023-08-31
10084;9586;2023-07-03
2724;307;2023-07-06
9242;8365;2023-04-01
2124;2743;2023-01-23
6623;4219;2023-08-28
7539;8978;2023-12-04
1183;6494;2023-05-10
10957;9374;2023-07-24
7751;5778;2023-02-28
8014;9988;2023-03-11
90;3778;2023-11-12
11596;2073;2023-05-29
10565;6852;2023-08-08
6096;834;2023-11-06
4781;1382;2023-07-23
2095;1381;2023-12-23
8814;1538;2023-01-02
1985;5542;2023-11-26
9989;9864;2023-10-20
6338;9040;2023-09-16
11683;7476;2023-03-03
5058;3450;2023-04-19
6411;38;2023-06-19
3234;9053;2023-07-01
4594;8928;2023-12-25
5421;2255;2023-01-16
1822;4373;2023-10-28
11026;1658;2023-02-12
5512;7462;2023-10-12
6001;9374;2023-10-02
807;302;2023-02-28
5816;7620;2023-02-12
947;3547;2023-02-04
4841;3259;2023-03-18
3150;5479;2023-05-18
9095;297;2023-11-19
4147;8592;2023-05-21
6779;4457;2023-08-25
10818;1434;2023-08-23
10168;5793;2023-02-27
90;9308;2023-07-12
4988;5099;2023-04-18
3622;1967;2023-04-05
6212;2674;2023-07-11
7358;7869;2023-07-21
1276;6240;2023-04-16
3810;9774;2023-05-17
2559;9477;2023-09-02
5769;1903;2023-11-03
5572;1916;2023-05-01
7956;5401;2023-04-25
3506;4942;2023-08-24
1731;139;2023-08-01
9404;5888;2023-10-15
5210;8249;2023-10-30
7622;5099;2023-01-14
9347;3802;2023-08-02
9487;6049;2023-10-11
11517;9517;2023-03-04
8863;1210;2023-10-12
11631;4174;2023-08-24
9945;9870;2023-03-07
4363;5966;2023-09-26
4151;8099;2023-12-28
3888;112;2023-12-01
4244;2657;2023-03-16
3779;6509;2023-01-28
5977;4597;2023-03-15
2098;1457;2023-04-10
4348;5035;2023-08-30
1972;4629;2023-08-18
2633;2813;2023-06-11
2450;4938;2023-01-21
6827;3286;2023-10-13
56;2575;2023-02-06
11155;1065;2023-08-27
8637;7797;2023-11-13
3107;2979;2023-10-25
708;5639;2023-07-20
1808;2401;2023-05-25
105;4370;2023-09-14
459;5086;2023-09-18
11191;1388;2023-07-02
2555;5007;2023-09-19
4970;1686;2023-04-24
6102;1224;2023-07-14
3027;6546;2023-02-28
4645;8241;2023-11-26
2153;6359;2023-06-09
373;597;2023-06-26
4286;5360;2023-07-26
5380;7531;2023-09-03
10864;2203;2023-03-10
6792;7254;2023-06-08
4257;1197;2023-08-06
7476;5473;2023-01-16
4272;1182;2023-09-12
271;4306;2023-08-12
9655;7415;2023-07-17
2989;7777;2023-02-08
2682;821;2023-01-11
4981;7508;2023-01-05
3060;8515;2023-09-02
499;9450;2023-09-23
11360;3099;2023-09-22
7886;2204;2023-03-08
6483;3202;2023-12-13
10785;2782;2023-02-18
9986;6358;2023-12-05
6507;8833;2023-12-08
6294;7997;2023-01-06
5193;5183;2023-06-21
4967;9664;2023-05-30
6002;2221;2023-06-08
7208;8509;2023-04-25
1762;9845;2023-06-13
5197;8341;2023-02-20
1822;4626;2023-03-27
7139;6712;2023-04-24
688;4120;2023-10-27
1827;7713;2023-08-15
10744;8760;2023-02-18
7265;3610;2023-06-26
8151;9818;2023-11-23
4322;6795;2023-06-10
1780;2159;2023-02-22
187;1092;2023-01-16
8185;7420;2023-01-14
4040;2214;2023-04-26
9085;1833;2023-01-02
11266;8288;2023-05-11
1027;1219;2023-10-09
3080;755;2023-07-23
6012;6294;2023-06-23
6846;7412;2023-02-04
8248;5716;2023-06-20
5133;2941;2023-06-23
4062;1274;2023-07-03
1684;3229;2023-04-10
4121;4414;2023-12-14
10408;1486;2023-04-22
4552;2784;2023-07-05
11299;9842;2023-10-30
6408;7790;2023-03-10
3182;6681;2023-08-13
7096;4630;2023-10-26
4123;3380;2023-01-05
6445;9249;2023-08-18
6805;2239;2023-01-18
1144;7215;2023-09-13
6860;4141;2023-08-06
199;6581;2023-03-10
3294;5083;2023-05-10
2736;3617;2023-05-02
1886;2852;2023-05-25
71;4019;2023-01-23
7885;4478;2023-08-12
2631;5310;2023-04-19
5558;7750;2023-10-17
8659;4692;2023-02-17
10008;6159;2023-10-27
6426;6665;2023-08-11
9471;4828;2023-10-14
3298;1729;2023-07-15
10270;3152;2023-06-22
6387;6851;2023-05-31
4521;2224;2023-04-03
4125;454;2023-06-09
3680;3627;2023-02-12
4767;5335;2023-08-21
6932;2894;2023-05-06
5782;3761;2023-08-29
6871;1332;2023-07-11
8201;5117;2023-06-30
6993;5138;2023-05-27
8510;3733;2023-06-10
4306;1528;2023-09-12
1386;2242;2023-03-23
5676;2732;2023-06-17
6682;8615;2023-11-14
2014;1344;2023-08-05
9187;5041;2023-02-05
4420;1628;2023-12-04
2693;982;2023-02-13
10277;8295;2023-02-19
7927;7825;2023-12-03
2899;7633;2023-07-20
4187;9243;2023-06-02
10684;4649;2023-11-23
9144;1460;2023-03-25
2726;5916;2023-01-31
7359;8773;2023-12-30
11470;8338;2023-02-08
6962;1517;2023-04-02
7378;5936;2023-02-14
5410;6341;2023-03-31
1295;4086;2023-04-01
2251;3294;2023-09-21
1185;8048;2023-03-08
3129;7334;2023-04-16
6963;6145;2023-04-04
9666;6398;2023-12-07
8929;445;2023-05-15
11138;7614;2023-01-21
10404;4931;2023-08-05
9869;4205;2023-12-01
7667;8612;2023-11-13
6658;8599;2023-04-13
6555;2641;2023-04-29
7856;231;2023-12-13
5164;3684;2023-12-06
3075;2465;2023-12-07
4307;6177;2023-09-14
4816;1408;2023-01-15
7620;8624;2023-07-19
9042;711;2023-08-21
335;2962;2023-08-30
3255;1568;2023-10-11
826;408;2023-06-28
6470;6442;2023-02-28
488;2211;2023-05-04
1128;8009;2023-09-16
6544;9555;2023-09-03
11273;5944;2023-10-14
8025;9557;2023-01-27
10321;7649;2023-06-26
1858;7555;2023-02-06
3662;7961;2023-04-19
7594;9452;2023-02-19
9514;9468;2023-04-01
9334;5155;2023-10-22
9320;5062;2023-06-20
747;2219;2023-03-22
447;8529;2023-01-19
6019;8017;2023-06-14
7069;2308;2023-03-01
3339;8746;2023-04-17
2847;4181;2023-01-03
8321;1426;2023-08-27
1883;37;2023-07-14
1397;2798;2023-11-16
10465;5675;2023-04-22
6053;9825;2023-09-15
5496;614;2023-07-28
2986;8641;2023-12-11
1065;3155;2023-05-02
8792;9502;2023-07-21
1952;2580;2023-11-06
3497;2027;2023-08-30
9860;4706;2023-12-11
9630;6018;2023-07-17
4683;3298;2023-10-07
1713;3811;2023-10-09
10041;4628;2023-09-10
9816;4559;2023-02-23
9845;3195;2023-10-08
11506;9239;2023-08-24
11249;4534;2023-02-08
5143;1988;2023-01-04
9634;3730;2023-12-04
883;9481;2023-06-12
8529;470;2023-04-27
7373;2170;2023-08-28
1479;8050;2023-03-08
6891;7871;2023-03-27
5854;2621;2023-10-28
10072;3881;2023-01-15
1482;144;2023-04-07
1147;3811;2023-12-16
5955;7056;2023-12-17
1773;8943;2023-12-05
11474;1205;2023-09-11
7058;2850;2023-01-15
7504;3435;2023-05-28
854;2378;2023-05-11
4744;7118;2023-12-11
7806;489;2023-03-24
2424;6626;2023-08-19
3566;9310;2023-02-27
5534;1700;2023-05-08
9203;4726;2023-02-19
8553;8046;2023-04-21
9384;8165;2023-05-13
7529;442;2023-04-25
5517;9239;2023-08-27
9371;822;2023-11-29
10028;7786;2023-10-20
3528;4492;2023-02-14
2422;9723;2023-04-08
2170;6744;2023-04-26
7532;5466;2023-05-10
11446;5322;2023-01-25
7916;409;2023-09-16
9830;5591;2023-03-20
7094;8543;2023-01-14
1305;8610;2023-07-15
4701;6417;2023-03-06
